,Nombre,Detalles,Precio actual,Precio anterior,Descuento
96,Laptop Core I5 5ta Hp Dell Lenovo Asus Acer Toshiba 14 PuLG.,Usado,1679.0,1679.0,0
97,Laptop Macbook Pro 2020 13 I5 Ssd 512gb 8gb Selladas *** ,na,7699.0,7699.0,0
98,Laptop Hp Pavilion X360 2 En 1 14 Fhd Táctil (i5 1035g1 8...,na,3779.0,3779.0,0
99,Hp Pavilion 15.6 Gaming Amd Ryzen 5 4600h 8gb 256gb Nvidi...,na,3779.0,3779.0,0
100,"Laptop Hp Elitebook 820 G2, Intel Core I5 4gb Hdd 1tb 12.5 ",Reacondicionado,1489.0,1489.0,0
101,Lenovo Yoga C740 14 256gb Ssd I5 10210u 8gb Ram Pantalla...,na,3769.0,3769.0,0
102,Nuevo Hp 15.6 Fhd Ryzen 5 4600h 8gb 256gb Gtx 1650 15 Ec1...,na,3769.0,3769.0,0
103,Portátil Hp 15.6 Ryzen 5 8gb / 256gb Oro Rosa,na,3219.0,3219.0,0
104,Lenovo Ideapad 3 15 Hd Touch I3 1005g1 16gb Ram 512gb Ssd...,na,3589.0,3589.0,0
105, Laptop Lenovo Ideapad C340 14' Touch Amd Ryzen 5 3500u 8gb,na,3100.0,3100.0,0
106,Hp Stream 11.6 Celeron 4gb Ram 64gb Windows 10 Rose Pink...,na,1399.0,1399.0,0
107,Laptop Empresarial Dell 5450 Ci5 5ta.gen.16gb 1tb Hdmi 14.1 ,Reacondicionado,1890.0,1890.0,0
108,Nuevo Asus X512da Bts2020rl 15.6 Laptop Ryzen 5 / 8gb / 5...,na,3439.0,3439.0,0
109,Laptop Ideapad Flex 3 11.6 Ips 2-1 Intel 64gb Hdd 4gb Ram!!,na,1489.0,1489.0,0
110,Laptop Acer Aspire 5 Fhd I7-8va/512gb Ssd/8gb Ram Win10 Home,na,4399.0,4399.0,0
111,Macbook Air M1 256gb  2020 13.3 -sellado-garantia-6tiendas,na,4800.0,4800.0,0
112,Macbook Air Core I5 Pantalla 13' Apple Laptop / Tienda,Usado,2590.0,2590.0,0
113,Laptop Lenovo Thinkbook 14s Intel Core I5 10ma Generación ,na,3599.0,3599.0,0
114,Laptop Dell Latitude 3330 Intel C 1007u 1.5ghz 4gb Ssd 13.3 ,Reacondicionado,999.0,999.0,0
115,Laptop I7 7ma Hp Dell Lenovo Asus Acer Toshiba 15.6 Video2gb,Usado,2799.0,2799.0,0
116,Laptop Hp 15-gw0013la Ryzen 7 8gb 512gb Ssd 15.6  Fhd Win 10,na,3659.0,3659.0,0
117,Lenovo Ideapad 3 15.6 Pantalla Táctil Laptop Intel I5 12g...,na,3139.0,3139.0,0
118,"Case Para Macbook Pro 13.3'', 15.4''. (case For Mac)",na,64.0,64.0,0
119,Nuevo Asus Vivobook Thin Laptop 14 Fhd Ryzen 5 3500u 8gb...,na,3159.0,3159.0,0
120,Laptop Hp 15-gw0013la 15.6' Full Hd Ryzen 7 16gb 512gb Ssd,na,3699.0,3699.0,0
121,Laptop Lenovo Ideapad S340 14' Ryzen 5 8gb 256ssd Metal W10e,na,2899.0,2899.0,0
122,Lenovo Ideapad 1 14 Laptop Amd A6 Series 4gb Radeon R4 Am...,na,1289.0,1289.0,0
123,"Laptop Chuwi Herobook Pro, 8gb, 256gb Ssd, Fullhd, Matebook",na,1998.0,1998.0,0
124,Lenovo Ideapad 3 14 Fhd Intel Core I5 1035g1 8gb Ram 512g...,na,2989.0,2989.0,0
125,Lenovo Ideapad Flex 5 14 Fhd Portátil Táctil Ryzen 3 4300...,na,2609.0,2609.0,0
126,Laptop Hp 15.6 Core I5-8250u Dd 1tb/ram 4gb Ddr4 Sellado,na,2999.0,2999.0,0
127,Msi Gf65 Thin 15.6'' Fhd Ci7-9750h 16gb 512ssd 6gb Rtx2060,na,5799.0,5799.0,0
128,Laptop Hp 240 G7 I3 1005g1 10ma 4gb Hdd 1tb 14 PuLG,na,1999.0,1999.0,0
129,Lenovo Legion 5 144hz Ci7-10750h 16gb 1tb+512ssd 6gb Rtx2060,na,6699.0,6699.0,0
130,Asus Rog Hero Iii G531gw Ci7-9750h 16gb 512ssd Rtx2070 8gb,na,8399.0,8399.0,0
131,Dell 15 5593 Ci7-1065g7 15.6'' Fhd 16gb 1tb+256ssd 4gb Mx230,na,4699.0,4699.0,0
132,Msi Gf75 Thin 17.3  144hz Ci7-10750 16gb 512ssd Gtx1650 4gb ,na,6157.0,6157.0,0
133,Laptop Huawei Matebook X Pro 2020+mouse Opti. Y Funda Gratis,na,5600.0,5600.0,0
